Name,Food groups,Serving size,Serving Count,Last Updated,Source,Ingredients,Notes - Nutrition summary,Tags,Food,Fat (g),Sat Fat (g),Fiber (g),Sugar (g),Sodium (mg),Protein (g),Iron DV%,Calcium DV%,Company,Entree in meal combo,FS ratio,PS ratio,Related to Sides calculations for rice and scrappy tomato stew (Side page),Side in meal combo,Sides calculations for rice and scrappy tomato stew (Side page),Total Carbs (g),Unit Count,Unit size,Vitamin C DV%,Vitamin D DV%,Magnesium DV%,Zinc DV%,Added Sugar (g),Related to Nutrition Calculator (Food),cost per main property,price per serving,Vitamins and minerals per serving,Storage,Pairs with,Vitamin B1 DV%,Vitamin B12 DV%,Vitamin B2 DV%,Vitamin B3 DV%,Vitamin B5 DV%,Vitamin B6 DV%,Vitamin B7 DV%,Vitamin B9 DV%,Created time,Last edited time,Potassium DV%
ARM & Hammer baking soda,,1/8 tsp (600 mg) serving,566,"September 9, 2022 4:10 PM (CDT)",Kroger,,,"baking soda, cooking ingredient",,0,0,0,0,150,0,,,,,N/A,N/A,,,,0,0.75,box (755 servings per box),,,,,0,"https://www.notion.so/baking-soda-4be63f7f3c5f445e9b78746872cf9db5, https://www.notion.so/baking-soda-2e91a836cd7c40cea5c2d36e9ddf53b7, https://www.notion.so/1-tsp-baking-soda-bb68065b9f5d4478ab1d1c6c9a2c7aa7",,,,,,,,,,,,,,"September 9, 2022 5:09 PM","September 9, 2022 5:14 PM",
Gold emblem 100% vegetable oil (soybean oil),,"1 tbsp (14 g) servings ",57.6,"June 26, 2022 2:29 PM (CDT)",CVS,,,,https://www.notion.so/Canola-oil-d7fb87cf0958446eba38d34f18752172,14,2,0,0,0,0,,,,,N/A,N/A,,,,0,0.6,bottles,0,0,,,0,"https://www.notion.so/Oil-913fd2ff2d4647558ee552aeca05cb60, https://www.notion.so/Oil-f98a8bd7b1b94ff2969a5515e41cc7e7",,,,,,,,,,,,,,"June 26, 2022 3:28 PM","October 13, 2022 12:31 PM",
[UPDATE] Simple Truth gluten-free chickpea flour,"protein, vegetables",1/4 cups (30g) (1 oz) - 15 servings per container,22.5,"June 26, 2022 2:23 PM (CDT)",Kroger,organic chickpeas,Got for 2.64 (50% off) on. acloseout sale at Kroger,"Strength: Vitamin B1, cooking ingredient, flour, flour: chickpea flour, restaurant",,2,0,4,3,5,6,8,0,Simple Truth,,2.67,55.2,,,,19,1.5,bags,,,,,0,"https://www.notion.so/Chickpea-flour-d00ce0f2f615400787125fc172e2f142, https://www.notion.so/chickpea-flour-2c95718f778c4b9dbcbc80cfe405004e, https://www.notion.so/60-g-chickpea-flour-5d142f626a514e909c76edbdc68edc33",,,,,,39.34,,16.1,9.51,31.48,40.66,,137.04,"June 26, 2022 3:19 PM","December 3, 2022 12:36 AM",
Cheerios - family size (18 oz) and giant size (20 oz) boxes,grains,1.5 cup (39g) serving (13 per container),21.67,"December 13, 2022 3:48 PM (CST)","Amazon, CVS, Home, Instacart, Kroger, Walmart",,"Yes, I purposefully shoved two different box sizes in here and will use the 18 oz for determining how many servings I have left. I interchange so much between the two sizes that it would be unnecessary struggle to keep up with matching the RIGHT size box to every cheerios entry in nutrition tracker.","Accomodation Food, Ok PS Ratio (1 <= x < 1.5), Staple, Stellar FS Ratio (+3), Strength: Magnesium, breakfast, edit week 45-46, should/must hydrate with liquid",https://www.notion.so/Cereal-22ea5aa993c54014942bbe8dce25cc47,2.5,0.5,4,2,190,5,70,10,,"https://www.notion.so/Cereal-banana-protein-bar-v1-bcc4ae0c091147808ebaa4cc5520ecbc, https://www.notion.so/Cereal-banana-protein-bar-egg-v1-efda7e1acec3480a9f48d65a609c584a",4,1.21,,,,29,1.67,Box,10,10,15,20,1,"https://www.notion.so/Cheerios-ec3479a0372546729f9401f0ade8b6a8, https://www.notion.so/cheerios-ce1b728ca8e4443e9a7853361cc48cd1, https://www.notion.so/1-serving-cereal-270da241918e4a0387702d5ea600b44b, https://www.notion.so/1-cheerios-eb1feda4a7894fcc9f083b9882318398, https://www.notion.so/1-5-serving-cheerios-e004a790056f4e2284b3ef453f1d10fc, https://www.notion.so/cheerios-estimate-of-what-I-ate-68250ed11c8c42559b79f4a03ffa03bb, https://www.notion.so/1-serving-cereal-8f5a010fd0684fa6a60af47d4d4084ca, https://www.notion.so/0-5-servings-cheerios-a3db6b8e81364fa7bb04f560528878b8, https://www.notion.so/cereal-e567781f97ee4615a704aa9cb1577030, https://www.notion.so/0-5-serving-Cheerios-d73f071b201648ae9baac285ef7d4d6f, https://www.notion.so/1-serving-Cheerios-08065f415ced44ff8479798249b1ad15, https://www.notion.so/Cereal-deae07ecf2c749f0a70b771a4feae394, https://www.notion.so/1-serving-cheerios-4e916242c7a849ec8b29013cb8987ead, https://www.notion.so/1-serving-cheerios-1a48c1c04953490794d8b81118ca2acd, https://www.notion.so/1-cheerios-f0f4bcccf2aa4f3b95e04bba6f782a99, https://www.notion.so/1-5-serving-dry-Cheerios-9a4f4486cca54f5eab85355bb61fb396, https://www.notion.so/1-cheerios-83d50fabbf564d1ab020bd86cbacba98, https://www.notion.so/1-serving-cheerios-459e8cdda6a74b2db433ad9a6b85d7b5, https://www.notion.so/1-serving-cheerios-deda7227c0004ffc96e47043ee26458b, https://www.notion.so/1-serving-cheerios-6007ce369c2147b88ce26e045f9773ed, https://www.notion.so/2-serving-cheerios-23426c7690944656a367db3e592f5782, https://www.notion.so/1-Cheerios-c924ae0842784d5283a1ed4be978a46c, https://www.notion.so/cereal-2a34b7e3d85b4e0a9d296ea8b7d906fc, https://www.notion.so/cereal-c041919c938f4d6a830a4a64adbcd33c, https://www.notion.so/cereal-21b481980eca4346b00af11a944673d1, https://www.notion.so/cereal-f64b1e352dd7476c80941f63b52bd403, https://www.notion.so/1-cheerios-9d19bf24c9124e17b781c7bb565b3375, https://www.notion.so/1-cheerios-6f2c223a33c642a6a2c89d061282251b, https://www.notion.so/1-cheerios-9ae76d2fcee240729e205bc872ea6fd0, https://www.notion.so/1-cheerios-abc3b086f72344b2876ac22cbc2bde26, https://www.notion.so/1-cereal-437d57da96a0488f900db6cef10b133b, https://www.notion.so/0-3-serving-cheerios-00491aff051d490b82ddc6968ddbeaf4, https://www.notion.so/Cereal-176bb4a7dd5d4127aeddc6ec5c40aa91, https://www.notion.so/Cheerios-e61bb447d2754ec9b733f46654c9bce5, https://www.notion.so/Cheerios-4fe291000c8142cd9e87cd74154d0c20, https://www.notion.so/0-6-serving-dried-cheerios-99e6e4a9330044cc9c1c2e23124037e1, https://www.notion.so/1-Cereal-b48a96c11c934978a8922f1ed2ed68ec, https://www.notion.so/2-5-serving-cheerios-769971084a1b4891b53413a50264cd30, https://www.notion.so/0-5-serving-cheerios-a459e402600c4fc3aad81519a63e38f4, https://www.notion.so/1-25-serving-dry-cheerios-f6ad7b11263749e4ae4e0cf8a3f29076, https://www.notion.so/Cheerios-1acd90013ca644069a843429ca0b904e, https://www.notion.so/1-serving-cheerios-d241a00635f240b6ab2f77a1c9f40911, https://www.notion.so/1-25-serving-Cheerios-20121f7b4bab4ccd8d465aeed811f8c2, https://www.notion.so/2-5-serving-cheerios-ac60765f5db249eaa0fc41f3e6af1d5d, https://www.notion.so/cheerios-e91ec0b56cf2404493c4117b7f0713c0, https://www.notion.so/1-5-serving-cheerios-7e8c8d57ceff4bdc99e77704e9a9db43, https://www.notion.so/1-serving-dry-cheerios-511bdd90d457447891689d42855e2158, https://www.notion.so/1-serving-cheerios-c42c35d00fd04e75b095cf62e30e5b80, https://www.notion.so/2-serving-cheerios-c679b9b971f245eea1cee9eb1b43decd, https://www.notion.so/2-serving-dry-cheerios-427cbec5a0844709afd52224a7a022a4, https://www.notion.so/1-5-serving-cheerios-158153a62d0841f481cba0d1416575e8, https://www.notion.so/60-g-1-538-servings-crushed-cheerios-666859652fcc492eb7c1dedab4b5530c, https://www.notion.so/cheerios-291a0655076d451cbde6cdeda45e51d9, https://www.notion.so/cereal-68df8558f88543cf8a73eecb7e590b27, https://www.notion.so/cereal-950e5554b3934df5ae5b0e05a6d70304, https://www.notion.so/1-serving-cheerios-b61c157d90bd42118976eff7c5dbc0a5, https://www.notion.so/1-serving-dry-cheerios-b0d96ad28dab4298a7b68a8ed4759d18, https://www.notion.so/2-2-cheerios-99178f5dc9cf4ddd95e7ace13af3716f, https://www.notion.so/1-7-servings-of-dry-Cheerios-6dd573c3f9d24207abfa002479154408, https://www.notion.so/1-serving-dry-Cheerios-ce5342ee810d4347a96a360619b87bec, https://www.notion.so/1-serving-dry-cheerios-55ad9985df1d470c86cdafbe33491838",,"CVS: 
- Family size (18 oz)
- - reg: $8.29 per box (46.06 cents per oz)

   
- large size (12 oz)    
- - reg: $6.99 per box (58.25 cents cents per oz)
   - regular size (8.9 oz)    
- - reg: $6.49 per box (72.92 cents cents per oz)
- - sale: $1.99 per box (22.35 cents  cents per oz)
   

Kroger:  
- Giant size (20 oz)
- - reg: $6.49 per box (32.45 cents per oz)
- - coupon: $5.49 per box (27.45 cents per oz)
",,Pantry,,,,,,,,,,"August 26, 2021 6:36 PM","December 13, 2022 4:48 PM",6
Gold Embelem Abound sea salt Roasted chickpeas,"protein, vegetables",servings (1 oz = 28g),19,"November 11, 2022 11:40 PM (CST)",CVS,,"5g insoluble fiber, <1g soluble fiber","Good PS Ratio (1.5 <= x < 3), Stellar FS Ratio (+3)",https://www.notion.so/Chickpeas-garbanzo-beans-1d810036c36c49179100154ea020df54,3,0,5,2,95,6,6,2,Gold Embelem,,5,2.91,,,,18,3.8,bags (5 servings per bag) (142g = 5 oz),,0,,,0,"https://www.notion.so/1-7-serving-dried-chickpeas-25aa122553bb4b62b114747d257b09da, https://www.notion.so/0-5-serving-dried-chickpeas-955a0e8c68b44970b1613183ce78bcf2, https://www.notion.so/1-oz-beans-and-chickpeas-dried-chickpeas-as-placeholder-224a161128d749de9b5f36a9d756c1ac, https://www.notion.so/1-serving-dried-chickpeas-327c237f5f524345b091bda23b9a8581, https://www.notion.so/20g-0-86-serving-boiled-dried-chickpeas-2605fa1697b147a99e10fb53c79ada35, https://www.notion.so/0-5-servings-chickpeas-ff48b7dbf79d46019f543bbc3339a30e, https://www.notion.so/24g-chickpea-1bc96de63ace4da69fac02dc31339f45, https://www.notion.so/1-serving-dried-chickpeas-198486a33e174782a517e3fbe3efe295, https://www.notion.so/1-serving-chickpeas-02092858c13f4f1a8e41f56549e60c83, https://www.notion.so/1-serving-chickpeas-boiled-fc0d38210aab4d269975aad3e4748f49, https://www.notion.so/2-oz-chickpeas-45g-chickpeas-CVS-one-as-placeholder-6adf4a4a5e5f44f7bf111773ca5282b7, https://www.notion.so/0-5-serving-dried-chickpeas-2c407e9cfe844d9c9b552603bde6d318",,,,Pantry,,,,,,,,,,"September 24, 2022 7:57 PM","November 12, 2022 12:40 AM",4
[potassium magnesium update for meals] Bob's Red Mill gluten free classic oatmeal (reg),grains,1 container (60g),17,"November 6, 2022 12:52 AM (CDT)","Amazon, Instacart, Kroger, Munchie (Vanderbilt Campus Dining), Walmart",,,"Accomodation Food, Fiber: soluble fiber, Good PS Ratio (1.5 <= x < 3), Hot water cook-able, Staple, Stellar FS Ratio (+3), Strength: Magnesium, edit week 45-46, should/must hydrate with liquid",https://www.notion.so/Oatmeal-157589c46c1540f181da19a9735c8cf6,5,1,7,1,160,7,10,2,,https://www.notion.so/Breakfast-oatmeal-v1-79606138f75540fb9da8c5094b0641ee,14,2.01,,,,33,17,1 container,0,0,11.25,20.1,,"https://www.notion.so/cup-of-oats-27e9365d76004e98bcce9bfc2048f3c3, https://www.notion.so/oatmeal-f0f5b9fb30f94524ae3b72dd12a0e5c0, https://www.notion.so/oatmeal-593acfc5bcf14ce58547bbefdf5d6163, https://www.notion.so/1-oatmeal-cup-2c5790aec6954a56a0280a5fb14e0438, https://www.notion.so/1-oatmeal-cup-037cc44197b141d2adce33b715200cc8, https://www.notion.so/1-serving-oatmeal-1253e723a56847c9be2f535a91647ad1, https://www.notion.so/1-Oatmeal-96225083e3bd4a01960c2033ca2a10a6, https://www.notion.so/Oatmeal-4984db2d2795406f9e1c74ef8b81a2d0, https://www.notion.so/oatmeal-cup-1-51g-d14afdd50a234b0a95235692b9b7e542, https://www.notion.so/Oatmeal-27147824b9604a649fd4d1840b03c91f, https://www.notion.so/1-oatmeal-682796b5e7ec40ea96612296cae65e69, https://www.notion.so/1-serving-oatmeal-1-serving-cheerios-cd477556afbe45c2880ac3e66fcb0cad, https://www.notion.so/1-serving-oatmeal-cf8a5615559d42afacbe3783dce0fe8a, https://www.notion.so/1-oatmeal-cup-5cfb43019de7488ca5d92a8e135e1fa2, https://www.notion.so/1-oatmeal-449e75b10acb4271b2d54eb16c38f5cc, https://www.notion.so/4-cups-of-bob-s-oats-59a5065a1bd04d44a67f3d6e00b24a5e, https://www.notion.so/1-cup-of-bob-s-oats-29579972eb21404bb562610aa17a52cb, https://www.notion.so/1-cup-of-bob-s-oats-7bb091c55d124558950a3e9f945289a3, https://www.notion.so/2-5-cup-60g-rolled-oats-c95a8e541eec46ddb411c20512acbde9, https://www.notion.so/oats-2c3db04042b74e04ba3681feaba6da55, https://www.notion.so/60g-oats-4fdc3f6f0bca41bba31af670a6aa2837, https://www.notion.so/60g-oats-ec5f13e6269f44b1b0d0db9b6e995e9b, https://www.notion.so/120g-oats-f0551fc9a09f4415b4387f00f796287d, https://www.notion.so/120g-oats-f02cc6ebfd5147a8a5abf231e12fd7fc, https://www.notion.so/120g-oats-d16a8e441ba9452db46070321f6b370f, https://www.notion.so/180g-oats-3-oat-cups-6a859d28f9204a1e8fd25d8f3ecb284c, https://www.notion.so/60g-oats-1-oat-cup-c0c73001a9414e3a94ed783d8d136f4f, https://www.notion.so/60g-oats-1-oat-cup-98b24fe9ff04420ab5326b4156e7ae32, https://www.notion.so/One-kiwi-bars-6e11471e94e54f5b8e2ec93760933433",,"Bobs red mill website: $2.316

Munchie 
- (meal swipe): $0.00 
- (meal money): $4.09 
    (Munchie surcharge for this is 77% relative to source)

____________________________
",,Pantry,,,,,,,,,,"August 27, 2021 3:13 AM","December 3, 2022 12:46 AM",4.51
Thrive Market Organic Sunflower Seeds,"protein, vegetables",1 oz,16.16,"October 11, 2022 2:12 AM (CDT)",Thrive Market,"Sprouted organic sunflower seeds, sea salt",,"Accomodation Food, Ok PS Ratio (1 <= x < 1.5), Stellar FS Ratio (+3), Thrive Values: Keto, Thrive Values: Organic, Thrive Values: Paleo, Thrive Values: Whole30, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/Sunflower-seeds-c57ed7734f5446ec86132fbfadd4cc3e,14,1,2,0.5,190,6,8,2,Thrive Market,,8,1.45,,,,6,1.01,16 oz pouch (bag),0,0,8.5,,0,"https://www.notion.so/125g-sunflower-seeds-9b943e4dde1a42f5b7a1f9f4c2ec43a2, https://www.notion.so/53g-sunflower-seeds-7dfa1f926b414c3f9df61ab7966042be, https://www.notion.so/1-serving-sunflower-seeds-not-rinsed-47cd09ff40104880a874e5a399a0d050, https://www.notion.so/1-serving-sunflower-seeds-not-rinsed-f748ba92ce9141a4b214d3277da96d9c, https://www.notion.so/1-serving-sunflower-seeds-unrinsed-c3c9373ec6d54e7d925e5a06a1347fe9, https://www.notion.so/0-7-serving-sunflower-seeds-2f24e5f505cd41bbac3f87d21975fb71","Retail
$15.49 per bag →
$0.968125 per serving → $0.1613541667 per gram of protein

Regular
$10.29 per bag →
$0.643125 per serving → $0.1071875 per gram of protein

30% extra off
$7.20 per bag →
$0.45 per serving → $0.075 per gram of protein
","Thrive: $0.643 per serving (10.29/16)
____________________________","

potassium - 180 mg (4%)",Pantry,,,,,9.45,18.9,10.395,,,"September 2, 2022 6:02 AM","October 26, 2022 2:24 AM",4
"[UPDATE] Organic chocolate-covered hazelnuts ","protein, vegetables",one ounce serving (30g),16,"June 4, 2022 7:43 AM (CDT)",Thrive Market,,"PDCAAS: ",snacks,https://www.notion.so/nuts-37e254f43167465bbb5b3c5084cee45d,14,5,2,8,5,2,8,2,,,0.5,18.4,,,,12,4,bags (4 servings per bag),0,0,0,0,8,"https://www.notion.so/1-3-serving-chocolate-covered-hazelnut-53243a614f8542d9a14fd8f0c7be0372, https://www.notion.so/1-serving-chocolate-covered-hazelnuts-fb520353aaa0428fa31da14554f493e6",,,,,,,,,,,,,,"June 3, 2022 4:46 AM","June 6, 2022 8:21 PM",
Munchie brand elbow pasta,,5 oz portion (139g),16,"October 10, 2021 11:26 PM (CDT)",Munchie (Vanderbilt Campus Dining),,,,"https://www.notion.so/Elbow-macaroni-Pasta-raw-d390b89dedb34e359c0996054cb08a5b, https://www.notion.so/Elbow-macaroni-Pasta-cooked-03819a68819a429498ea9b4ce77f176d",1.5,0.2,0,0,105,6,,,,https://www.notion.so/Korma-Kale-PB-Pasta-Lunch-Dinner-129981856c844db692e3861008313cb7,N/A,2.63,,,,35,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Campbell's healthy request Chicken with rice soup,,,8,"August 5, 2022 9:42 PM (CDT)",Home,"Chicken Stock, Rice, Chicken Meat, Carrots, Contains Less Than 2% Of: Chicken Fat, Celery, Seasoning (Potassium Salt, Salt, Natural Flavoring), Salt, Water, Cornstarch, Sugar, Natural Flavoring, Onions, Vegetable Oil, Dried Chicken, Yeast Extract, Modified Cornstarch, Dried Chicken Broth, Beta Carotene For Color, Soy Protein Isolate, Sodium Phosphate, Soy Lecithin. Contains: Soy May Contain Traces Of Wheat","The natural flavor and cornstarch and soy protein isolates and sodium phosphate are issues ","Opening ease: Easy open tab for lid, soup",,2,0.5,0,0.5,390,2,0,0,,,0,0.24,,,,13,,,0,0,,,0,,,,,Pantry,3 hard boiled eggs (18g protein) and bread (4g fiber and some protein). Would make total rpotein 20g to the 17% DV SODIUM and total fiber 4g.,,,,,,,,,"August 5, 2022 10:32 PM","October 26, 2022 2:23 AM",
