Name,Tags,Area,Link,Connection,Created,Created time,Last edited time,Published,Source,Type
,,,,,,"July 5, 2024 10:09 AM","July 5, 2024 10:09 AM",,,
,,,,,,"July 5, 2024 10:09 AM","July 5, 2024 10:09 AM",,,
,,,,,,"July 5, 2024 10:09 AM","July 5, 2024 10:09 AM",,,
CodeTime,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:09 AM",,,
New Mac Malware Found to Infect via Xcode,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:11 AM",,,
Report: Microsoft’s GitHub Account Gets Hacked,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:09 AM",,,
Official PHP Git server targeted in attempt to bury malware in code base,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:09 AM",,,
Malware Attack on GitHub Repositories a Disturbing Development for Open Source Projects,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:09 AM",,,
[Fin later maybe] UI / UX Design Tutorial – From Zero to Hero with Wireframe + Prototype + Design in Figma,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:12 AM",,,
Can C++ be used as a server-side web development language? [closed],,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:12 AM",,,
Debugging JavaScript - Chrome DevTools 101,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:12 AM",,,
Firefox Android Remote Debugging Demo,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Firefox JavaScript Debugger,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Github policy on scraping (most related statement to using inspect element),,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
5 Crazy Hacks Using Inspect Element,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
How To Use Inspect Element,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Marrer Video - Using the Debugger in Thonny,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Python: Debugger,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Import a js file in another,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
[FIN] How to Create an XML Sitemap (and Submit It to Google),,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
free wireframe kit,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Installing Sourcegraph,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
